run,input_size,threads,num_chunks,copied_elements,duration_us
1,100000, 1, 0, 2336, 815
2,100000, 1, 0, 2336, 796
3,100000, 1, 0, 2336, 662
4,100000, 1, 0, 2336, 685
5,100000, 1, 0, 2336, 780
6,100000, 1, 0, 2336, 737
7,100000, 1, 0, 2336, 688
8,100000, 1, 0, 2336, 825
9,100000, 1, 0, 2336, 675
10,100000, 1, 0, 2336, 706
1,100000, 1, 1, 2336, 677
2,100000, 1, 1, 2336, 698
3,100000, 1, 1, 2336, 750
4,100000, 1, 1, 2336, 859
5,100000, 1, 1, 2336, 729
6,100000, 1, 1, 2336, 652
7,100000, 1, 1, 2336, 668
8,100000, 1, 1, 2336, 666
9,100000, 1, 1, 2336, 662
10,100000, 1, 1, 2336, 660
1,100000, 1, 2, 2336, 671
2,100000, 1, 2, 2336, 660
3,100000, 1, 2, 2336, 663
4,100000, 1, 2, 2336, 684
5,100000, 1, 2, 2336, 704
6,100000, 1, 2, 2336, 677
7,100000, 1, 2, 2336, 708
8,100000, 1, 2, 2336, 682
9,100000, 1, 2, 2336, 725
10,100000, 1, 2, 2336, 687
1,100000, 2, 0, 2336, 420
2,100000, 2, 0, 2336, 461
3,100000, 2, 0, 2336, 429
4,100000, 2, 0, 2336, 416
5,100000, 2, 0, 2336, 481
6,100000, 2, 0, 2336, 419
7,100000, 2, 0, 2336, 528
8,100000, 2, 0, 2336, 548
9,100000, 2, 0, 2336, 639
10,100000, 2, 0, 2336, 506
1,100000, 2, 1, 2336, 640
2,100000, 2, 1, 2336, 629
3,100000, 2, 1, 2336, 635
4,100000, 2, 1, 2336, 658
5,100000, 2, 1, 2336, 599
6,100000, 2, 1, 2336, 584
7,100000, 2, 1, 2336, 634
8,100000, 2, 1, 2336, 539
9,100000, 2, 1, 2336, 615
10,100000, 2, 1, 2336, 582
1,100000, 2, 2, 2336, 657
2,100000, 2, 2, 2336, 624
3,100000, 2, 2, 2336, 622
4,100000, 2, 2, 2336, 497
5,100000, 2, 2, 2336, 546
6,100000, 2, 2, 2336, 612
7,100000, 2, 2, 2336, 586
8,100000, 2, 2, 2336, 623
9,100000, 2, 2, 2336, 388
10,100000, 2, 2, 2336, 585
1,100000, 4, 0, 2336, 401
2,100000, 4, 0, 2336, 402
3,100000, 4, 0, 2336, 453
4,100000, 4, 0, 2336, 290
5,100000, 4, 0, 2336, 274
6,100000, 4, 0, 2336, 301
7,100000, 4, 0, 2336, 330
8,100000, 4, 0, 2336, 396
9,100000, 4, 0, 2336, 397
10,100000, 4, 0, 2336, 423
1,100000, 4, 1, 2336, 414
2,100000, 4, 1, 2336, 256
3,100000, 4, 1, 2336, 263
4,100000, 4, 1, 2336, 248
5,100000, 4, 1, 2336, 264
6,100000, 4, 1, 2336, 254
7,100000, 4, 1, 2336, 277
8,100000, 4, 1, 2336, 737
9,100000, 4, 1, 2336, 256
10,100000, 4, 1, 2336, 249
1,100000, 4, 2, 2336, 416
2,100000, 4, 2, 2336, 279
3,100000, 4, 2, 2336, 370
4,100000, 4, 2, 2336, 287
5,100000, 4, 2, 2336, 254
6,100000, 4, 2, 2336, 267
7,100000, 4, 2, 2336, 243
8,100000, 4, 2, 2336, 321
9,100000, 4, 2, 2336, 417
10,100000, 4, 2, 2336, 273
1,100000, 8, 0, 2336, 301
2,100000, 8, 0, 2336, 295
3,100000, 8, 0, 2336, 290
4,100000, 8, 0, 2336, 283
5,100000, 8, 0, 2336, 338
6,100000, 8, 0, 2336, 377
7,100000, 8, 0, 2336, 266
8,100000, 8, 0, 2336, 429
9,100000, 8, 0, 2336, 277
10,100000, 8, 0, 2336, 373
1,100000, 8, 1, 2336, 672
2,100000, 8, 1, 2336, 260
3,100000, 8, 1, 2336, 298
4,100000, 8, 1, 2336, 254
5,100000, 8, 1, 2336, 312
6,100000, 8, 1, 2336, 276
7,100000, 8, 1, 2336, 198
8,100000, 8, 1, 2336, 224
9,100000, 8, 1, 2336, 210
10,100000, 8, 1, 2336, 263
1,100000, 8, 2, 2336, 322
2,100000, 8, 2, 2336, 226
3,100000, 8, 2, 2336, 212
4,100000, 8, 2, 2336, 211
5,100000, 8, 2, 2336, 251
6,100000, 8, 2, 2336, 278
7,100000, 8, 2, 2336, 241
8,100000, 8, 2, 2336, 189
9,100000, 8, 2, 2336, 241
10,100000, 8, 2, 2336, 203
1,100000, 16, 0, 2336, 343
2,100000, 16, 0, 2336, 452
3,100000, 16, 0, 2336, 505
4,100000, 16, 0, 2336, 356
5,100000, 16, 0, 2336, 429
6,100000, 16, 0, 2336, 448
7,100000, 16, 0, 2336, 422
8,100000, 16, 0, 2336, 293
9,100000, 16, 0, 2336, 461
10,100000, 16, 0, 2336, 274
1,100000, 16, 1, 2336, 252
2,100000, 16, 1, 2336, 287
3,100000, 16, 1, 2336, 565
4,100000, 16, 1, 2336, 399
5,100000, 16, 1, 2336, 305
6,100000, 16, 1, 2336, 474
7,100000, 16, 1, 2336, 296
8,100000, 16, 1, 2336, 381
9,100000, 16, 1, 2336, 337
10,100000, 16, 1, 2336, 302
1,100000, 16, 2, 2336, 378
2,100000, 16, 2, 2336, 371
3,100000, 16, 2, 2336, 257
4,100000, 16, 2, 2336, 258
5,100000, 16, 2, 2336, 261
6,100000, 16, 2, 2336, 249
7,100000, 16, 2, 2336, 317
8,100000, 16, 2, 2336, 229
9,100000, 16, 2, 2336, 295
10,100000, 16, 2, 2336, 298
1,100000, 24, 0, 2336, 509
2,100000, 24, 0, 2336, 662
3,100000, 24, 0, 2336, 447
4,100000, 24, 0, 2336, 670
5,100000, 24, 0, 2336, 547
6,100000, 24, 0, 2336, 639
7,100000, 24, 0, 2336, 641
8,100000, 24, 0, 2336, 445
9,100000, 24, 0, 2336, 628
10,100000, 24, 0, 2336, 496
1,100000, 24, 1, 2336, 381
2,100000, 24, 1, 2336, 417
3,100000, 24, 1, 2336, 316
4,100000, 24, 1, 2336, 376
5,100000, 24, 1, 2336, 268
6,100000, 24, 1, 2336, 290
7,100000, 24, 1, 2336, 334
8,100000, 24, 1, 2336, 398
9,100000, 24, 1, 2336, 250
10,100000, 24, 1, 2336, 286
1,100000, 24, 2, 2336, 526
2,100000, 24, 2, 2336, 427
3,100000, 24, 2, 2336, 487
4,100000, 24, 2, 2336, 454
5,100000, 24, 2, 2336, 410
6,100000, 24, 2, 2336, 479
7,100000, 24, 2, 2336, 365
8,100000, 24, 2, 2336, 499
9,100000, 24, 2, 2336, 375
10,100000, 24, 2, 2336, 384
