run,input_size,threads,num_chunks,,copied_elements,duration_us
1,100000,1,0,0,2343,641
2,100000,1,0,0,2343,628
3,100000,1,0,0,2343,909
4,100000,1,0,0,2343,904
5,100000,1,0,0,2343,827
6,100000,1,0,0,2343,898
7,100000,1,0,0,2343,832
8,100000,1,0,0,2343,836
9,100000,1,0,0,2343,915
10,100000,1,0,0,2343,760
1,100000,1,1,1,2343,791
2,100000,1,1,1,2343,806
3,100000,1,1,1,2343,785
4,100000,1,1,1,2343,720
5,100000,1,1,1,2343,844
6,100000,1,1,1,2343,845
7,100000,1,1,1,2343,787
8,100000,1,1,1,2343,693
9,100000,1,1,1,2343,771
10,100000,1,1,1,2343,788
1,100000,1,2,2,2343,786
2,100000,1,2,2,2343,805
3,100000,1,2,2,2343,696
4,100000,1,2,2,2343,842
5,100000,1,2,2,2343,797
6,100000,1,2,2,2343,855
7,100000,1,2,2,2343,791
8,100000,1,2,2,2343,734
9,100000,1,2,2,2343,854
10,100000,1,2,2,2343,780
1,10000000,1,0,0,237619,37483
2,10000000,1,0,0,237619,37060
3,10000000,1,0,0,237619,36145
4,10000000,1,0,0,237619,36199
5,10000000,1,0,0,237619,36854
6,10000000,1,0,0,237619,36441
7,10000000,1,0,0,237619,37468
8,10000000,1,0,0,237619,36214
9,10000000,1,0,0,237619,36028
10,10000000,1,0,0,237619,36672
1,10000000,1,1,1,237619,35911
2,10000000,1,1,1,237619,35724
3,10000000,1,1,1,237619,35975
4,10000000,1,1,1,237619,36104
5,10000000,1,1,1,237619,36099
6,10000000,1,1,1,237619,36372
7,10000000,1,1,1,237619,36214
8,10000000,1,1,1,237619,36879
9,10000000,1,1,1,237619,35998
10,10000000,1,1,1,237619,36228
1,10000000,1,2,2,237619,35924
2,10000000,1,2,2,237619,35991
3,10000000,1,2,2,237619,36108
4,10000000,1,2,2,237619,36813
5,10000000,1,2,2,237619,35999
6,10000000,1,2,2,237619,38825
7,10000000,1,2,2,237619,35889
8,10000000,1,2,2,237619,36067
9,10000000,1,2,2,237619,36118
10,10000000,1,2,2,237619,36227
1,1000000000,1,0,0,23813338,4280263
2,1000000000,1,0,0,23813338,4271151
3,1000000000,1,0,0,23813338,4279422
4,1000000000,1,0,0,23813338,4280147
5,1000000000,1,0,0,23813338,4274724
6,1000000000,1,0,0,23813338,4319321
7,1000000000,1,0,0,23813338,4282312
8,1000000000,1,0,0,23813338,4284228
9,1000000000,1,0,0,23813338,4280989
10,1000000000,1,0,0,23813338,4289036
1,1000000000,1,1,1,23813338,4260789
2,1000000000,1,1,1,23813338,4244296
3,1000000000,1,1,1,23813338,4264946
4,1000000000,1,1,1,23813338,4292523
5,1000000000,1,1,1,23813338,4249492
6,1000000000,1,1,1,23813338,4246415
7,1000000000,1,1,1,23813338,4247842
8,1000000000,1,1,1,23813338,4251387
9,1000000000,1,1,1,23813338,4242669
10,1000000000,1,1,1,23813338,4245735
1,1000000000,1,2,2,23813338,4258708
2,1000000000,1,2,2,23813338,4248452
3,1000000000,1,2,2,23813338,4279385
4,1000000000,1,2,2,23813338,4243329
5,1000000000,1,2,2,23813338,4287540
6,1000000000,1,2,2,23813338,4244408
7,1000000000,1,2,2,23813338,4250390
8,1000000000,1,2,2,23813338,4242708
9,1000000000,1,2,2,23813338,4253718
10,1000000000,1,2,2,23813338,4258182
1,100000,2,0,0,2343,424
2,100000,2,0,0,2343,528
3,100000,2,0,0,2343,433
4,100000,2,0,0,2343,427
5,100000,2,0,0,2343,436
6,100000,2,0,0,2343,405
7,100000,2,0,0,2343,423
8,100000,2,0,0,2343,406
9,100000,2,0,0,2343,416
10,100000,2,0,0,2343,417
1,100000,2,1,1,2343,382
2,100000,2,1,1,2343,385
3,100000,2,1,1,2343,387
4,100000,2,1,1,2343,477
5,100000,2,1,1,2343,419
6,100000,2,1,1,2343,424
7,100000,2,1,1,2343,386
8,100000,2,1,1,2343,405
9,100000,2,1,1,2343,409
10,100000,2,1,1,2343,392
1,100000,2,2,2,2343,463
2,100000,2,2,2,2343,426
3,100000,2,2,2,2343,396
4,100000,2,2,2,2343,445
5,100000,2,2,2,2343,418
6,100000,2,2,2,2343,436
7,100000,2,2,2,2343,478
8,100000,2,2,2,2343,427
9,100000,2,2,2,2343,431
10,100000,2,2,2,2343,439
1,10000000,2,0,0,237619,20200
2,10000000,2,0,0,237619,19616
3,10000000,2,0,0,237619,19892
4,10000000,2,0,0,237619,19456
5,10000000,2,0,0,237619,19651
6,10000000,2,0,0,237619,19728
7,10000000,2,0,0,237619,19567
8,10000000,2,0,0,237619,20116
9,10000000,2,0,0,237619,19418
10,10000000,2,0,0,237619,20097
1,10000000,2,1,1,237619,19441
2,10000000,2,1,1,237619,19518
3,10000000,2,1,1,237619,19619
4,10000000,2,1,1,237619,19583
5,10000000,2,1,1,237619,22827
6,10000000,2,1,1,237619,19422
7,10000000,2,1,1,237619,19544
8,10000000,2,1,1,237619,19401
