size,threads,num_chunks,mean,min
100000,1,1,783.0,693
100000,2,1,406.6,382
100000,4,1,250.7,233
100000,8,1,251.5,203
100000,16,1,277.1,239
100000,24,1,294.8,233
10000000,1,1,36150.4,35724
10000000,2,1,19865.4,19401
10000000,4,1,13835.0,10618
10000000,8,1,10162.4,9335
10000000,16,1,7157.2,6927
10000000,24,1,5971.5,5370
1000000000,1,1,4254609.4,4242669
1000000000,2,1,2462909.0,2450407
1000000000,4,1,1390732.1,1382902
1000000000,8,1,831301.0,825537
1000000000,16,1,767388.7,734153
1000000000,24,1,633150.7,602545
