size,threads,num_chunks,mean,min
100000,1,0,815.0,628
100000,2,0,431.5,405
100000,4,0,276.1,260
100000,8,0,259.0,236
100000,16,0,535.6,438
100000,24,0,719.2,589
10000000,1,0,36656.4,36028
10000000,2,0,19774.1,19418
10000000,4,0,10807.9,10692
10000000,8,0,6413.0,6320
10000000,16,0,4965.2,4605
10000000,24,0,4590.6,4451
1000000000,1,0,4284159.3,4271151
1000000000,2,0,2272555.2,2257184
1000000000,4,0,1245651.2,1226756
1000000000,8,0,707324.0,700429
1000000000,16,0,522544.4,512157
1000000000,24,0,461651.4,454084
