run,input_size,threads,num_chunks,copied_elements,duration_us
1,100000, 1, 0, 2343, 832
2,100000, 1, 0, 2343, 825
3,100000, 1, 0, 2343, 820
4,100000, 1, 0, 2343, 816
5,100000, 1, 0, 2343, 835
6,100000, 1, 0, 2343, 822
7,100000, 1, 0, 2343, 827
8,100000, 1, 0, 2343, 823
9,100000, 1, 0, 2343, 811
10,100000, 1, 0, 2343, 834
1,100000, 1, 1, 2343, 862
2,100000, 1, 1, 2343, 868
3,100000, 1, 1, 2343, 877
4,100000, 1, 1, 2343, 871
5,100000, 1, 1, 2343, 876
6,100000, 1, 1, 2343, 865
7,100000, 1, 1, 2343, 873
8,100000, 1, 1, 2343, 898
9,100000, 1, 1, 2343, 858
10,100000, 1, 1, 2343, 859
1,100000, 1, 2, 2343, 871
2,100000, 1, 2, 2343, 852
3,100000, 1, 2, 2343, 874
4,100000, 1, 2, 2343, 855
5,100000, 1, 2, 2343, 856
6,100000, 1, 2, 2343, 876
7,100000, 1, 2, 2343, 861
8,100000, 1, 2, 2343, 869
9,100000, 1, 2, 2343, 880
10,100000, 1, 2, 2343, 869
1,10000000, 1, 0, 237619, 50572
2,10000000, 1, 0, 237619, 48990
3,10000000, 1, 0, 237619, 48365
4,10000000, 1, 0, 237619, 48228
5,10000000, 1, 0, 237619, 48572
6,10000000, 1, 0, 237619, 48156
7,10000000, 1, 0, 237619, 49819
8,10000000, 1, 0, 237619, 49066
9,10000000, 1, 0, 237619, 49011
10,10000000, 1, 0, 237619, 48772
1,10000000, 1, 1, 237619, 53608
2,10000000, 1, 1, 237619, 52370
3,10000000, 1, 1, 237619, 52755
4,10000000, 1, 1, 237619, 52565
5,10000000, 1, 1, 237619, 52341
6,10000000, 1, 1, 237619, 51721
7,10000000, 1, 1, 237619, 51388
8,10000000, 1, 1, 237619, 51158
9,10000000, 1, 1, 237619, 52430
10,10000000, 1, 1, 237619, 51387
1,10000000, 1, 2, 237619, 51596
2,10000000, 1, 2, 237619, 51264
3,10000000, 1, 2, 237619, 51722
4,10000000, 1, 2, 237619, 52084
5,10000000, 1, 2, 237619, 50554
6,10000000, 1, 2, 237619, 54720
7,10000000, 1, 2, 237619, 52087
8,10000000, 1, 2, 237619, 52163
9,10000000, 1, 2, 237619, 50341
10,10000000, 1, 2, 237619, 52473
1,1000000000, 1, 0, 23813338, 5675554
2,1000000000, 1, 0, 23813338, 5628181
3,1000000000, 1, 0, 23813338, 5620265
4,1000000000, 1, 0, 23813338, 5767242
5,1000000000, 1, 0, 23813338, 5793881
6,1000000000, 1, 0, 23813338, 5685382
7,1000000000, 1, 0, 23813338, 5813080
