size,threads,num_chunks,mean,min
100000,1,2,866.3,852
100000,2,2,697.0,511
100000,4,2,322.7,298
100000,8,2,286.0,245
100000,16,2,342.6,304
100000,24,2,341.8,316
10000000,1,2,51900.4,50341
10000000,2,2,27210.4,26680
10000000,4,2,14520.2,14291
10000000,8,2,8850.8,8195
10000000,16,2,6344.9,5344
10000000,24,2,5183.9,4978
1000000000,1,2,5899306.8,5819301
1000000000,2,2,3270045.7,3251703
1000000000,4,2,1778378.5,1766875
1000000000,8,2,1071594.3,1053451
1000000000,16,2,675329.6,648371
1000000000,24,2,583659.6,560424
