size,threads,num_chunks,mean,min
100000,1,0,824.5,811
100000,2,0,601.9,482
100000,4,0,318.3,292
100000,8,0,311.3,244
100000,16,0,431.3,346
100000,24,0,565.4,490
10000000,1,0,48955.1,48156
10000000,2,0,25868.2,25695
10000000,4,0,13912.3,13738
10000000,8,0,8502.1,7942
10000000,16,0,5462.1,5240
10000000,24,0,5554.2,5100
1000000000,1,0,5690693.7,5585968
1000000000,2,0,3141556.4,3108751
1000000000,4,0,1584040.8,1579320
1000000000,8,0,929647.9,916900
1000000000,16,0,620131.6,611778
1000000000,24,0,561334.8,558581
