run,input_size,threads,num_chunks,,copied_elements,duration_us
1,100000,1,0,0,2343,813
2,100000,1,0,0,2343,723
3,100000,1,0,0,2343,618
4,100000,1,0,0,2343,641
5,100000,1,0,0,2343,624
6,100000,1,0,0,2343,623
7,100000,1,0,0,2343,687
8,100000,1,0,0,2343,612
9,100000,1,0,0,2343,922
10,100000,1,0,0,2343,751
1,100000,1,1,1,2343,1011
2,100000,1,1,1,2343,651
3,100000,1,1,1,2343,618
4,100000,1,1,1,2343,664
5,100000,1,1,1,2343,639
6,100000,1,1,1,2343,641
7,100000,1,1,1,2343,777
8,100000,1,1,1,2343,776
9,100000,1,1,1,2343,656
10,100000,1,1,1,2343,633
1,100000,1,2,2,2343,681
2,100000,1,2,2,2343,1008
3,100000,1,2,2,2343,684
4,100000,1,2,2,2343,667
5,100000,1,2,2,2343,639
6,100000,1,2,2,2343,645
7,100000,1,2,2,2343,656
8,100000,1,2,2,2343,638
9,100000,1,2,2,2343,646
10,100000,1,2,2,2343,648
1,10000000,1,0,0,237619,37660
2,10000000,1,0,0,237619,37177
3,10000000,1,0,0,237619,37552
4,10000000,1,0,0,237619,37158
5,10000000,1,0,0,237619,37598
6,10000000,1,0,0,237619,36839
7,10000000,1,0,0,237619,37249
8,10000000,1,0,0,237619,37913
9,10000000,1,0,0,237619,37450
10,10000000,1,0,0,237619,36047
1,10000000,1,1,1,237619,36881
2,10000000,1,1,1,237619,38222
3,10000000,1,1,1,237619,37737
4,10000000,1,1,1,237619,38407
5,10000000,1,1,1,237619,38669
6,10000000,1,1,1,237619,38322
7,10000000,1,1,1,237619,38650
8,10000000,1,1,1,237619,38270
9,10000000,1,1,1,237619,38732
10,10000000,1,1,1,237619,39254
1,10000000,1,2,2,237619,38901
2,10000000,1,2,2,237619,39255
3,10000000,1,2,2,237619,38538
4,10000000,1,2,2,237619,38463
5,10000000,1,2,2,237619,39549
6,10000000,1,2,2,237619,39035
7,10000000,1,2,2,237619,38900
8,10000000,1,2,2,237619,38416
9,10000000,1,2,2,237619,38879
10,10000000,1,2,2,237619,38950
1,1000000000,1,0,0,23813338,4299290
2,1000000000,1,0,0,23813338,4285362
3,1000000000,1,0,0,23813338,4290236
4,1000000000,1,0,0,23813338,4260301
5,1000000000,1,0,0,23813338,4275512
6,1000000000,1,0,0,23813338,4263427
7,1000000000,1,0,0,23813338,4246922
8,1000000000,1,0,0,23813338,4233619
9,1000000000,1,0,0,23813338,4235268
10,1000000000,1,0,0,23813338,4210956
1,1000000000,1,1,1,23813338,4434840
2,1000000000,1,1,1,23813338,4369998
3,1000000000,1,1,1,23813338,4344241
4,1000000000,1,1,1,23813338,4385261
5,1000000000,1,1,1,23813338,4316876
6,1000000000,1,1,1,23813338,4469032
7,1000000000,1,1,1,23813338,4407813
8,1000000000,1,1,1,23813338,4361825
9,1000000000,1,1,1,23813338,4473396
10,1000000000,1,1,1,23813338,4401334
1,1000000000,1,2,2,23813338,4468028
2,1000000000,1,2,2,23813338,4375762
3,1000000000,1,2,2,23813338,4365394
4,1000000000,1,2,2,23813338,4343512
5,1000000000,1,2,2,23813338,4429221
6,1000000000,1,2,2,23813338,4404120
7,1000000000,1,2,2,23813338,4395681
8,1000000000,1,2,2,23813338,4494642
9,1000000000,1,2,2,23813338,4388914
10,1000000000,1,2,2,23813338,4429145
1,100000,2,0,0,2343,482
2,100000,2,0,0,2343,544
3,100000,2,0,0,2343,533
4,100000,2,0,0,2343,603
5,100000,2,0,0,2343,596
6,100000,2,0,0,2343,609
7,100000,2,0,0,2343,572
8,100000,2,0,0,2343,570
9,100000,2,0,0,2343,580
10,100000,2,0,0,2343,389
1,100000,2,1,1,2343,571
2,100000,2,1,1,2343,572
3,100000,2,1,1,2343,601
4,100000,2,1,1,2343,573
5,100000,2,1,1,2343,385
6,100000,2,1,1,2343,568
7,100000,2,1,1,2343,584
8,100000,2,1,1,2343,494
9,100000,2,1,1,2343,482
10,100000,2,1,1,2343,568
1,100000,2,2,2,2343,568
2,100000,2,2,2,2343,582
3,100000,2,2,2,2343,565
4,100000,2,2,2,2343,559
5,100000,2,2,2,2343,599
6,100000,2,2,2,2343,588
7,100000,2,2,2,2343,576
8,100000,2,2,2,2343,568
9,100000,2,2,2,2343,583
10,100000,2,2,2,2343,447
1,10000000,2,0,0,237619,20422
2,10000000,2,0,0,237619,19749
3,10000000,2,0,0,237619,19591
4,10000000,2,0,0,237619,19556
5,10000000,2,0,0,237619,19567
6,10000000,2,0,0,237619,19728
7,10000000,2,0,0,237619,19562
8,10000000,2,0,0,237619,19757
9,10000000,2,0,0,237619,19780
10,10000000,2,0,0,237619,19468
1,10000000,2,1,1,237619,20155
2,10000000,2,1,1,237619,20026
3,10000000,2,1,1,237619,20230
4,10000000,2,1,1,237619,20180
5,10000000,2,1,1,237619,20183
6,10000000,2,1,1,237619,20320
7,10000000,2,1,1,237619,20442
8,10000000,2,1,1,237619,19904
9,10000000,2,1,1,237619,20018
10,10000000,2,1,1,237619,20506
1,10000000,2,2,2,237619,20452
2,10000000,2,2,2,237619,20481
3,10000000,2,2,2,237619,20230
4,10000000,2,2,2,237619,20273
5,10000000,2,2,2,237619,20467
6,10000000,2,2,2,237619,20382
7,10000000,2,2,2,237619,20548
8,10000000,2,2,2,237619,20452
9,10000000,2,2,2,237619,20514
10,10000000,2,2,2,237619,20258
1,1000000000,2,0,0,23813338,2444197
2,1000000000,2,0,0,23813338,2440835
3,1000000000,2,0,0,23813338,2449471
4,1000000000,2,0,0,23813338,2444540
5,1000000000,2,0,0,23813338,2445208
6,1000000000,2,0,0,23813338,2464183
7,1000000000,2,0,0,23813338,2438789
8,1000000000,2,0,0,23813338,2440158
9,1000000000,2,0,0,23813338,2466625
10,1000000000,2,0,0,23813338,2429096
1,1000000000,2,1,1,23813338,2566594
2,1000000000,2,1,1,23813338,2599597
3,1000000000,2,1,1,23813338,2596482
4,1000000000,2,1,1,23813338,2593051
5,1000000000,2,1,1,23813338,2575891
6,1000000000,2,1,1,23813338,2576826
7,1000000000,2,1,1,23813338,2595342
8,1000000000,2,1,1,23813338,2585537
9,1000000000,2,1,1,23813338,2559788
10,1000000000,2,1,1,23813338,2572847
1,1000000000,2,2,2,23813338,2601799
2,1000000000,2,2,2,23813338,2530837
3,1000000000,2,2,2,23813338,2523362
4,1000000000,2,2,2,23813338,2523855
5,1000000000,2,2,2,23813338,2521045
6,1000000000,2,2,2,23813338,2525940
7,1000000000,2,2,2,23813338,2598484
8,1000000000,2,2,2,23813338,2626771
9,1000000000,2,2,2,23813338,2606025
10,1000000000,2,2,2,23813338,2597783
1,100000,4,0,0,2343,322
2,100000,4,0,0,2343,311
3,100000,4,0,0,2343,246
4,100000,4,0,0,2343,258
5,100000,4,0,0,2343,284
6,100000,4,0,0,2343,261
7,100000,4,0,0,2343,273
8,100000,4,0,0,2343,242
9,100000,4,0,0,2343,296
10,100000,4,0,0,2343,244
1,100000,4,1,1,2343,246
2,100000,4,1,1,2343,243
3,100000,4,1,1,2343,264
4,100000,4,1,1,2343,235
5,100000,4,1,1,2343,233
6,100000,4,1,1,2343,224
7,100000,4,1,1,2343,235
8,100000,4,1,1,2343,252
9,100000,4,1,1,2343,226
10,100000,4,1,1,2343,230
1,100000,4,2,2,2343,233
2,100000,4,2,2,2343,247
3,100000,4,2,2,2343,241
4,100000,4,2,2,2343,291
5,100000,4,2,2,2343,297
6,100000,4,2,2,2343,232
7,100000,4,2,2,2343,278
8,100000,4,2,2,2343,258
9,100000,4,2,2,2343,239
10,100000,4,2,2,2343,235
1,10000000,4,0,0,237619,10996
2,10000000,4,0,0,237619,12624
3,10000000,4,0,0,237619,10540
4,10000000,4,0,0,237619,12562
5,10000000,4,0,0,237619,12505
6,10000000,4,0,0,237619,10535
7,10000000,4,0,0,237619,12473
8,10000000,4,0,0,237619,10943
9,10000000,4,0,0,237619,10554
10,10000000,4,0,0,237619,10540
1,10000000,4,1,1,237619,13126
2,10000000,4,1,1,237619,10726
3,10000000,4,1,1,237619,13220
4,10000000,4,1,1,237619,13302
5,10000000,4,1,1,237619,10844
6,10000000,4,1,1,237619,13126
7,10000000,4,1,1,237619,18034
8,10000000,4,1,1,237619,10944
9,10000000,4,1,1,237619,10828
10,10000000,4,1,1,237619,10785
1,10000000,4,2,2,237619,10895
2,10000000,4,2,2,237619,14353
3,10000000,4,2,2,237619,14281
4,10000000,4,2,2,237619,10834
5,10000000,4,2,2,237619,14292
6,10000000,4,2,2,237619,14313
7,10000000,4,2,2,237619,10835
8,10000000,4,2,2,237619,11084
9,10000000,4,2,2,237619,10859
10,10000000,4,2,2,237619,10784
1,1000000000,4,0,0,23813338,1268090
2,1000000000,4,0,0,23813338,1265223
3,1000000000,4,0,0,23813338,1275031
4,1000000000,4,0,0,23813338,1267453
5,1000000000,4,0,0,23813338,1262846
6,1000000000,4,0,0,23813338,1265394
7,1000000000,4,0,0,23813338,1261964
8,1000000000,4,0,0,23813338,1275165
9,1000000000,4,0,0,23813338,1278657
10,1000000000,4,0,0,23813338,1271347
1,1000000000,4,1,1,23813338,1463945
2,1000000000,4,1,1,23813338,1471551
3,1000000000,4,1,1,23813338,1460179
4,1000000000,4,1,1,23813338,1476017
5,1000000000,4,1,1,23813338,1478913
6,1000000000,4,1,1,23813338,1474549
7,1000000000,4,1,1,23813338,1463001
8,1000000000,4,1,1,23813338,1454970
9,1000000000,4,1,1,23813338,1464090
10,1000000000,4,1,1,23813338,1460507
1,1000000000,4,2,2,23813338,1460646
2,1000000000,4,2,2,23813338,1464911
3,1000000000,4,2,2,23813338,1468943
4,1000000000,4,2,2,23813338,1462116
5,1000000000,4,2,2,23813338,1454941
6,1000000000,4,2,2,23813338,1483379
7,1000000000,4,2,2,23813338,1469545
8,1000000000,4,2,2,23813338,1479698
9,1000000000,4,2,2,23813338,1460805
10,1000000000,4,2,2,23813338,1480182
1,100000,8,0,0,2343,262
2,100000,8,0,0,2343,232
3,100000,8,0,0,2343,259
4,100000,8,0,0,2343,281
5,100000,8,0,0,2343,240
6,100000,8,0,0,2343,259
7,100000,8,0,0,2343,248
8,100000,8,0,0,2343,343
9,100000,8,0,0,2343,355
10,100000,8,0,0,2343,375
1,100000,8,1,1,2343,214
2,100000,8,1,1,2343,258
3,100000,8,1,1,2343,243
4,100000,8,1,1,2343,267
5,100000,8,1,1,2343,430
6,100000,8,1,1,2343,207
7,100000,8,1,1,2343,231
8,100000,8,1,1,2343,232
9,100000,8,1,1,2343,221
10,100000,8,1,1,2343,236
1,100000,8,2,2,2343,228
2,100000,8,2,2,2343,255
3,100000,8,2,2,2343,202
4,100000,8,2,2,2343,229
5,100000,8,2,2,2343,218
6,100000,8,2,2,2343,221
7,100000,8,2,2,2343,218
8,100000,8,2,2,2343,219
9,100000,8,2,2,2343,212
10,100000,8,2,2,2343,219
1,10000000,8,0,0,237619,6368
2,10000000,8,0,0,237619,6446
3,10000000,8,0,0,237619,6835
4,10000000,8,0,0,237619,6937
5,10000000,8,0,0,237619,6413
6,10000000,8,0,0,237619,6778
7,10000000,8,0,0,237619,6507
8,10000000,8,0,0,237619,6490
9,10000000,8,0,0,237619,8906
10,10000000,8,0,0,237619,6529
1,10000000,8,1,1,237619,7701
2,10000000,8,1,1,237619,7676
3,10000000,8,1,1,237619,7570
4,10000000,8,1,1,237619,7008
5,10000000,8,1,1,237619,8335
6,10000000,8,1,1,237619,7637
7,10000000,8,1,1,237619,7694
8,10000000,8,1,1,237619,7873
9,10000000,8,1,1,237619,8559
10,10000000,8,1,1,237619,7866
1,10000000,8,2,2,237619,6340
2,10000000,8,2,2,237619,6572
3,10000000,8,2,2,237619,6300
4,10000000,8,2,2,237619,6862
5,10000000,8,2,2,237619,6337
6,10000000,8,2,2,237619,7057
7,10000000,8,2,2,237619,7575
8,10000000,8,2,2,237619,6378
9,10000000,8,2,2,237619,6342
10,10000000,8,2,2,237619,7111
1,1000000000,8,0,0,23813338,755016
2,1000000000,8,0,0,23813338,749396
3,1000000000,8,0,0,23813338,752077
4,1000000000,8,0,0,23813338,751907
5,1000000000,8,0,0,23813338,753523
6,1000000000,8,0,0,23813338,752343
7,1000000000,8,0,0,23813338,765903
8,1000000000,8,0,0,23813338,751739
9,1000000000,8,0,0,23813338,752787
10,1000000000,8,0,0,23813338,750789
1,1000000000,8,1,1,23813338,886739
2,1000000000,8,1,1,23813338,847995
3,1000000000,8,1,1,23813338,884020
4,1000000000,8,1,1,23813338,881884
5,1000000000,8,1,1,23813338,886068
6,1000000000,8,1,1,23813338,853449
7,1000000000,8,1,1,23813338,877389
8,1000000000,8,1,1,23813338,881923
9,1000000000,8,1,1,23813338,912209
10,1000000000,8,1,1,23813338,900311
1,1000000000,8,2,2,23813338,894148
2,1000000000,8,2,2,23813338,888008
3,1000000000,8,2,2,23813338,850795
4,1000000000,8,2,2,23813338,894492
5,1000000000,8,2,2,23813338,897329
6,1000000000,8,2,2,23813338,931561
7,1000000000,8,2,2,23813338,894776
8,1000000000,8,2,2,23813338,861512
9,1000000000,8,2,2,23813338,892436
10,1000000000,8,2,2,23813338,853471
1,100000,16,0,0,2343,432
2,100000,16,0,0,2343,359
3,100000,16,0,0,2343,400
4,100000,16,0,0,2343,343
5,100000,16,0,0,2343,497
6,100000,16,0,0,2343,377
7,100000,16,0,0,2343,367
8,100000,16,0,0,2343,402
9,100000,16,0,0,2343,495
10,100000,16,0,0,2343,550
1,100000,16,1,1,2343,250
2,100000,16,1,1,2343,377
3,100000,16,1,1,2343,411
4,100000,16,1,1,2343,299
5,100000,16,1,1,2343,249
6,100000,16,1,1,2343,230
7,100000,16,1,1,2343,237
8,100000,16,1,1,2343,262
9,100000,16,1,1,2343,244
10,100000,16,1,1,2343,311
1,100000,16,2,2,2343,307
2,100000,16,2,2,2343,342
3,100000,16,2,2,2343,413
4,100000,16,2,2,2343,325
5,100000,16,2,2,2343,339
6,100000,16,2,2,2343,329
7,100000,16,2,2,2343,293
8,100000,16,2,2,2343,307
9,100000,16,2,2,2343,289
10,100000,16,2,2,2343,303
1,10000000,16,0,0,237619,5266
2,10000000,16,0,0,237619,5264
3,10000000,16,0,0,237619,5534
4,10000000,16,0,0,237619,5580
5,10000000,16,0,0,237619,5640
6,10000000,16,0,0,237619,5807
7,10000000,16,0,0,237619,5238
8,10000000,16,0,0,237619,5085
9,10000000,16,0,0,237619,5317
10,10000000,16,0,0,237619,5145
1,10000000,16,1,1,237619,7257
2,10000000,16,1,1,237619,7503
3,10000000,16,1,1,237619,7339
4,10000000,16,1,1,237619,7671
5,10000000,16,1,1,237619,7251
6,10000000,16,1,1,237619,7023
7,10000000,16,1,1,237619,7293
8,10000000,16,1,1,237619,7333
9,10000000,16,1,1,237619,7604
10,10000000,16,1,1,237619,7215
1,10000000,16,2,2,237619,5954
2,10000000,16,2,2,237619,5815
3,10000000,16,2,2,237619,6060
4,10000000,16,2,2,237619,5829
5,10000000,16,2,2,237619,6175
6,10000000,16,2,2,237619,5864
7,10000000,16,2,2,237619,5914
8,10000000,16,2,2,237619,6021
9,10000000,16,2,2,237619,6250
10,10000000,16,2,2,237619,5980
1,1000000000,16,0,0,23813338,567386
2,1000000000,16,0,0,23813338,563794
3,1000000000,16,0,0,23813338,571051
4,1000000000,16,0,0,23813338,525260
5,1000000000,16,0,0,23813338,535765
6,1000000000,16,0,0,23813338,534280
7,1000000000,16,0,0,23813338,547490
8,1000000000,16,0,0,23813338,613793
9,1000000000,16,0,0,23813338,531829
10,1000000000,16,0,0,23813338,532959
1,1000000000,16,1,1,23813338,763824
2,1000000000,16,1,1,23813338,649912
3,1000000000,16,1,1,23813338,800342
4,1000000000,16,1,1,23813338,661632
5,1000000000,16,1,1,23813338,727540
6,1000000000,16,1,1,23813338,706698
7,1000000000,16,1,1,23813338,663345
8,1000000000,16,1,1,23813338,668007
9,1000000000,16,1,1,23813338,680579
10,1000000000,16,1,1,23813338,780694
1,1000000000,16,2,2,23813338,581167
2,1000000000,16,2,2,23813338,601835
3,1000000000,16,2,2,23813338,630753
4,1000000000,16,2,2,23813338,732930
5,1000000000,16,2,2,23813338,719117
6,1000000000,16,2,2,23813338,590614
7,1000000000,16,2,2,23813338,712328
8,1000000000,16,2,2,23813338,651536
9,1000000000,16,2,2,23813338,597266
10,1000000000,16,2,2,23813338,728070
1,100000,24,0,0,2343,541
2,100000,24,0,0,2343,516
3,100000,24,0,0,2343,624
4,100000,24,0,0,2343,601
5,100000,24,0,0,2343,673
6,100000,24,0,0,2343,555
7,100000,24,0,0,2343,575
8,100000,24,0,0,2343,511
9,100000,24,0,0,2343,569
10,100000,24,0,0,2343,558
1,100000,24,1,1,2343,363
2,100000,24,1,1,2343,387
3,100000,24,1,1,2343,390
4,100000,24,1,1,2343,332
5,100000,24,1,1,2343,336
6,100000,24,1,1,2343,298
7,100000,24,1,1,2343,365
8,100000,24,1,1,2343,413
9,100000,24,1,1,2343,316
10,100000,24,1,1,2343,349
1,100000,24,2,2,2343,362
2,100000,24,2,2,2343,368
3,100000,24,2,2,2343,514
4,100000,24,2,2,2343,390
5,100000,24,2,2,2343,346
6,100000,24,2,2,2343,359
