run,input_size,threads,num_chunks,,copied_elements,duration_us
1,100000,1,0,0,2343,656
2,100000,1,0,0,2343,644
3,100000,1,0,0,2343,611
4,100000,1,0,0,2343,608
5,100000,1,0,0,2343,708
6,100000,1,0,0,2343,616
7,100000,1,0,0,2343,627
8,100000,1,0,0,2343,620
9,100000,1,0,0,2343,617
10,100000,1,0,0,2343,637
1,100000,1,1,1,2343,590
2,100000,1,1,1,2343,573
3,100000,1,1,1,2343,588
4,100000,1,1,1,2343,571
5,100000,1,1,1,2343,581
6,100000,1,1,1,2343,583
7,100000,1,1,1,2343,575
8,100000,1,1,1,2343,602
9,100000,1,1,1,2343,585
10,100000,1,1,1,2343,574
1,100000,1,2,2,2343,595
2,100000,1,2,2,2343,587
3,100000,1,2,2,2343,624
4,100000,1,2,2,2343,598
5,100000,1,2,2,2343,576
6,100000,1,2,2,2343,607
7,100000,1,2,2,2343,578
8,100000,1,2,2,2343,621
9,100000,1,2,2,2343,600
10,100000,1,2,2,2343,578
1,10000000,1,0,0,237619,36057
2,10000000,1,0,0,237619,35365
3,10000000,1,0,0,237619,35410
4,10000000,1,0,0,237619,35628
5,10000000,1,0,0,237619,36473
6,10000000,1,0,0,237619,37227
7,10000000,1,0,0,237619,46152
8,10000000,1,0,0,237619,37206
9,10000000,1,0,0,237619,36421
10,10000000,1,0,0,237619,37488
1,10000000,1,1,1,237619,34883
2,10000000,1,1,1,237619,34767
3,10000000,1,1,1,237619,34925
4,10000000,1,1,1,237619,35023
5,10000000,1,1,1,237619,34840
6,10000000,1,1,1,237619,34828
7,10000000,1,1,1,237619,34847
8,10000000,1,1,1,237619,34758
9,10000000,1,1,1,237619,34937
10,10000000,1,1,1,237619,34598
1,10000000,1,2,2,237619,34987
2,10000000,1,2,2,237619,34590
3,10000000,1,2,2,237619,34859
4,10000000,1,2,2,237619,34811
5,10000000,1,2,2,237619,34707
6,10000000,1,2,2,237619,34878
7,10000000,1,2,2,237619,34860
8,10000000,1,2,2,237619,34679
9,10000000,1,2,2,237619,34662
10,10000000,1,2,2,237619,34610
1,1000000000,1,0,0,23813338,4145961
2,1000000000,1,0,0,23813338,4186718
3,1000000000,1,0,0,23813338,4219743
4,1000000000,1,0,0,23813338,4187585
5,1000000000,1,0,0,23813338,4226072
6,1000000000,1,0,0,23813338,4247414
7,1000000000,1,0,0,23813338,4238335
8,1000000000,1,0,0,23813338,4254190
9,1000000000,1,0,0,23813338,4246900
10,1000000000,1,0,0,23813338,4232943
1,1000000000,1,1,1,23813338,4029899
2,1000000000,1,1,1,23813338,4028234
3,1000000000,1,1,1,23813338,3994331
4,1000000000,1,1,1,23813338,4003194
5,1000000000,1,1,1,23813338,3995578
6,1000000000,1,1,1,23813338,4027232
7,1000000000,1,1,1,23813338,4044707
8,1000000000,1,1,1,23813338,4023366
9,1000000000,1,1,1,23813338,3989012
10,1000000000,1,1,1,23813338,4012599
1,1000000000,1,2,2,23813338,4041454
2,1000000000,1,2,2,23813338,3993416
3,1000000000,1,2,2,23813338,4158598
4,1000000000,1,2,2,23813338,4030980
5,1000000000,1,2,2,23813338,4074069
6,1000000000,1,2,2,23813338,3972880
