size,threads,mean,min
100000.0,1.0,2413.3,1784
100000.0,2.0,720.3,636
100000.0,4.0,388.6,339
100000.0,8.0,342.5,310
100000.0,16.0,261.9,242
100000.0,24.0,230.6,201
10000000.0,1.0,41019.8,40445
10000000.0,2.0,27770,26689
10000000.0,4.0,16083.7,15210
10000000.0,8.0,10571.7,10075
10000000.0,16.0,7047.1,6665
10000000.0,24.0,5464.1,5126
1000000000.0,1.0,4342114.6,4114844
1000000000.0,2.0,2461390.9,2183131
1000000000.0,4.0,1503623.8,1215499
1000000000.0,8.0,855809.9,732211
1000000000.0,16.0,537374.2,483639
1000000000.0,24.0,466106,435087
