size,threads,num_chunks,mean,min
100000,1,0,701.4,612
100000,2,0,547.8,389
100000,4,0,273.7,242
100000,8,0,285.4,232
100000,16,0,422.2,343
100000,24,0,572.3,511
10000000,1,0,37264.3,36047
10000000,2,0,19718.0,19468
10000000,4,0,11427.2,10535
10000000,8,0,6820.9,6368
10000000,16,0,5387.6,5085
10000000,24,0,5239.6,4897
1000000000,1,0,4260089.3,4210956
1000000000,2,0,2446310.2,2429096
1000000000,4,0,1269117.0,1261964
1000000000,8,0,753548.0,749396
1000000000,16,0,552360.7,525260
1000000000,24,0,531268.8,522273
