run,input_size,threads,num_chunks,,copied_elements,duration_us
1,100000,1,0,0,2343,908
2,100000,1,0,0,2343,927
3,100000,1,0,0,2343,913
4,100000,1,0,0,2343,936
5,100000,1,0,0,2343,932
6,100000,1,0,0,2343,918
7,100000,1,0,0,2343,930
8,100000,1,0,0,2343,1114
9,100000,1,0,0,2343,1044
10,100000,1,0,0,2343,1013
1,100000,1,1,1,2343,897
2,100000,1,1,1,2343,922
3,100000,1,1,1,2343,915
4,100000,1,1,1,2343,964
5,100000,1,1,1,2343,985
6,100000,1,1,1,2343,909
7,100000,1,1,1,2343,898
8,100000,1,1,1,2343,1206
9,100000,1,1,1,2343,920
10,100000,1,1,1,2343,900
1,100000,1,2,2,2343,935
2,100000,1,2,2,2343,940
3,100000,1,2,2,2343,927
4,100000,1,2,2,2343,926
5,100000,1,2,2,2343,954
6,100000,1,2,2,2343,936
7,100000,1,2,2,2343,928
8,100000,1,2,2,2343,927
9,100000,1,2,2,2343,936
10,100000,1,2,2,2343,956
1,10000000,1,0,0,237619,53139
2,10000000,1,0,0,237619,52732
3,10000000,1,0,0,237619,52989
4,10000000,1,0,0,237619,53103
5,10000000,1,0,0,237619,52833
6,10000000,1,0,0,237619,53117
7,10000000,1,0,0,237619,52887
8,10000000,1,0,0,237619,52822
9,10000000,1,0,0,237619,53206
10,10000000,1,0,0,237619,52683
1,10000000,1,1,1,237619,53188
2,10000000,1,1,1,237619,53198
3,10000000,1,1,1,237619,52404
4,10000000,1,1,1,237619,53269
5,10000000,1,1,1,237619,52458
6,10000000,1,1,1,237619,52583
7,10000000,1,1,1,237619,52127
8,10000000,1,1,1,237619,52454
9,10000000,1,1,1,237619,52437
10,10000000,1,1,1,237619,52821
1,10000000,1,2,2,237619,52651
2,10000000,1,2,2,237619,52439
3,10000000,1,2,2,237619,52867
4,10000000,1,2,2,237619,52134
5,10000000,1,2,2,237619,52371
6,10000000,1,2,2,237619,53119
7,10000000,1,2,2,237619,52987
8,10000000,1,2,2,237619,56069
9,10000000,1,2,2,237619,52286
10,10000000,1,2,2,237619,52747
1,1000000000,1,0,0,23813338,6516865
2,1000000000,1,0,0,23813338,6180188
3,1000000000,1,0,0,23813338,6245327
4,1000000000,1,0,0,23813338,6290530
5,1000000000,1,0,0,23813338,6095596
6,1000000000,1,0,0,23813338,6056955
7,1000000000,1,0,0,23813338,6148637
8,1000000000,1,0,0,23813338,6066415
9,1000000000,1,0,0,23813338,6031046
10,1000000000,1,0,0,23813338,5893364
1,1000000000,1,1,1,23813338,5852279
2,1000000000,1,1,1,23813338,5988600
3,1000000000,1,1,1,23813338,6016629
4,1000000000,1,1,1,23813338,5984927
5,1000000000,1,1,1,23813338,5990643
6,1000000000,1,1,1,23813338,5972809
7,1000000000,1,1,1,23813338,5932647
8,1000000000,1,1,1,23813338,5983838
9,1000000000,1,1,1,23813338,5909892
10,1000000000,1,1,1,23813338,5991243
1,1000000000,1,2,2,23813338,6003449
2,1000000000,1,2,2,23813338,5902078
3,1000000000,1,2,2,23813338,5960036
4,1000000000,1,2,2,23813338,6038345
5,1000000000,1,2,2,23813338,5972599
6,1000000000,1,2,2,23813338,6002888
7,1000000000,1,2,2,23813338,6021626
8,1000000000,1,2,2,23813338,6023746
9,1000000000,1,2,2,23813338,6011606
10,1000000000,1,2,2,23813338,6087296
1,100000,2,0,0,2343,744
2,100000,2,0,0,2343,806
3,100000,2,0,0,2343,789
4,100000,2,0,0,2343,734
5,100000,2,0,0,2343,738
6,100000,2,0,0,2343,808
7,100000,2,0,0,2343,771
8,100000,2,0,0,2343,680
9,100000,2,0,0,2343,711
10,100000,2,0,0,2343,766
1,100000,2,1,1,2343,637
2,100000,2,1,1,2343,878
3,100000,2,1,1,2343,600
4,100000,2,1,1,2343,624
5,100000,2,1,1,2343,607
6,100000,2,1,1,2343,724
7,100000,2,1,1,2343,716
8,100000,2,1,1,2343,631
9,100000,2,1,1,2343,613
10,100000,2,1,1,2343,611
1,100000,2,2,2,2343,651
2,100000,2,2,2,2343,726
3,100000,2,2,2,2343,651
4,100000,2,2,2,2343,625
5,100000,2,2,2,2343,644
6,100000,2,2,2,2343,619
7,100000,2,2,2,2343,626
8,100000,2,2,2,2343,660
9,100000,2,2,2,2343,620
10,100000,2,2,2,2343,634
1,10000000,2,0,0,237619,27705
2,10000000,2,0,0,237619,27432
3,10000000,2,0,0,237619,27485
4,10000000,2,0,0,237619,27345
5,10000000,2,0,0,237619,27633
6,10000000,2,0,0,237619,27564
7,10000000,2,0,0,237619,27373
8,10000000,2,0,0,237619,27596
9,10000000,2,0,0,237619,28591
10,10000000,2,0,0,237619,27138
1,10000000,2,1,1,237619,27055
2,10000000,2,1,1,237619,26912
3,10000000,2,1,1,237619,27074
4,10000000,2,1,1,237619,27147
5,10000000,2,1,1,237619,26999
6,10000000,2,1,1,237619,26815
7,10000000,2,1,1,237619,26855
8,10000000,2,1,1,237619,26773
9,10000000,2,1,1,237619,28276
10,10000000,2,1,1,237619,26954
1,10000000,2,2,2,237619,27311
2,10000000,2,2,2,237619,26932
3,10000000,2,2,2,237619,27006
4,10000000,2,2,2,237619,27367
5,10000000,2,2,2,237619,27397
6,10000000,2,2,2,237619,27194
7,10000000,2,2,2,237619,26944
8,10000000,2,2,2,237619,27065
9,10000000,2,2,2,237619,27153
10,10000000,2,2,2,237619,26921
1,1000000000,2,0,0,23813338,3273717
2,1000000000,2,0,0,23813338,3271522
3,1000000000,2,0,0,23813338,3279317
4,1000000000,2,0,0,23813338,3267346
