size,threads,num_chunks,mean,min
100000,1,2,936.5,926
100000,2,2,645.6,619
100000,4,2,557.8,493
100000,8,2,702.6,630
100000,16,2,1511.5,1398
100000,24,2,2006.7,1837
10000000,1,2,52967.0,52134
10000000,2,2,27129.0,26921
10000000,4,2,14883.3,14403
10000000,8,2,8920.8,8477
10000000,16,2,6807.9,5943
10000000,24,2,6301.1,5970
1000000000,1,2,6002366.9,5902078
1000000000,2,2,3288902.2,3265815
1000000000,4,2,1815881.2,1781172
1000000000,8,2,1075097.7,1031418
1000000000,16,2,679980.1,647065
1000000000,24,2,619819.7,557574
