size,threads,num_chunks,mean,min
100000,1,0,963.5,908
100000,2,0,754.7,680
100000,4,0,679.1,595
100000,8,0,1020.1,901
100000,16,0,2108.6,1756
100000,24,0,3090.4,2853
10000000,1,0,52951.1,52683
10000000,2,0,27586.2,27138
10000000,4,0,15184.3,14593
10000000,8,0,9174.2,8640
10000000,16,0,6219.8,5847
10000000,24,0,5956.4,5710
1000000000,1,0,6152492.3,5893364
1000000000,2,0,3283119.1,3267346
1000000000,4,0,1677548.1,1658850
1000000000,8,0,991179.0,964305
1000000000,16,0,621464.2,589431
1000000000,24,0,578578.5,558222
