run,input_size,threads,num_chunks,,copied_elements,duration_us
1,100000,1,0,0,2343,1280
2,100000,1,0,0,2343,1395
3,100000,1,0,0,2343,1281
4,100000,1,0,0,2343,1251
5,100000,1,0,0,2343,1283
6,100000,1,0,0,2343,1103
7,100000,1,0,0,2343,1277
8,100000,1,0,0,2343,1271
9,100000,1,0,0,2343,893
10,100000,1,0,0,2343,926
1,100000,1,1,1,2343,949
2,100000,1,1,1,2343,950
3,100000,1,1,1,2343,1245
4,100000,1,1,1,2343,1242
5,100000,1,1,1,2343,1364
6,100000,1,1,1,2343,1040
7,100000,1,1,1,2343,936
8,100000,1,1,1,2343,1336
9,100000,1,1,1,2343,1357
10,100000,1,1,1,2343,1020
1,100000,1,2,2,2343,975
2,100000,1,2,2,2343,960
3,100000,1,2,2,2343,952
4,100000,1,2,2,2343,1176
5,100000,1,2,2,2343,1376
6,100000,1,2,2,2343,1109
7,100000,1,2,2,2343,1112
8,100000,1,2,2,2343,967
9,100000,1,2,2,2343,953
10,100000,1,2,2,2343,1254
1,10000000,1,0,0,237619,48132
2,10000000,1,0,0,237619,47431
3,10000000,1,0,0,237619,47660
4,10000000,1,0,0,237619,47348
5,10000000,1,0,0,237619,48020
6,10000000,1,0,0,237619,47194
7,10000000,1,0,0,237619,47611
8,10000000,1,0,0,237619,47506
9,10000000,1,0,0,237619,47487
10,10000000,1,0,0,237619,47982
1,10000000,1,1,1,237619,50810
2,10000000,1,1,1,237619,50587
3,10000000,1,1,1,237619,50948
4,10000000,1,1,1,237619,50646
5,10000000,1,1,1,237619,51153
6,10000000,1,1,1,237619,50756
7,10000000,1,1,1,237619,50576
8,10000000,1,1,1,237619,51315
9,10000000,1,1,1,237619,50379
10,10000000,1,1,1,237619,50517
1,10000000,1,2,2,237619,50849
2,10000000,1,2,2,237619,50586
3,10000000,1,2,2,237619,50570
4,10000000,1,2,2,237619,51109
5,10000000,1,2,2,237619,50536
6,10000000,1,2,2,237619,51152
7,10000000,1,2,2,237619,50877
8,10000000,1,2,2,237619,50822
9,10000000,1,2,2,237619,50608
10,10000000,1,2,2,237619,50578
1,1000000000,1,0,0,23813338,5546669
2,1000000000,1,0,0,23813338,5480179
3,1000000000,1,0,0,23813338,5495076
4,1000000000,1,0,0,23813338,5522422
5,1000000000,1,0,0,23813338,5507392
6,1000000000,1,0,0,23813338,5482775
7,1000000000,1,0,0,23813338,5486555
8,1000000000,1,0,0,23813338,5486866
9,1000000000,1,0,0,23813338,5483785
10,1000000000,1,0,0,23813338,5506583
1,1000000000,1,1,1,23813338,5847639
2,1000000000,1,1,1,23813338,5824430
3,1000000000,1,1,1,23813338,5831988
4,1000000000,1,1,1,23813338,5835256
5,1000000000,1,1,1,23813338,5830300
6,1000000000,1,1,1,23813338,5826608
7,1000000000,1,1,1,23813338,5829794
8,1000000000,1,1,1,23813338,5825714
9,1000000000,1,1,1,23813338,5850344
10,1000000000,1,1,1,23813338,5831176
1,1000000000,1,2,2,23813338,5825804
2,1000000000,1,2,2,23813338,5847652
3,1000000000,1,2,2,23813338,5824450
4,1000000000,1,2,2,23813338,5841782
5,1000000000,1,2,2,23813338,5826046
6,1000000000,1,2,2,23813338,5738699
7,1000000000,1,2,2,23813338,5831449
8,1000000000,1,2,2,23813338,5842135
9,1000000000,1,2,2,23813338,5826081
10,1000000000,1,2,2,23813338,5721935
1,100000,2,0,0,2343,686
2,100000,2,0,0,2343,553
