size,threads,num_chunks,mean,min
100000,1,2,1083.4,952
100000,2,2,553.8,533
100000,4,2,400.5,335
100000,8,2,295.3,239
100000,16,2,377.2,300
100000,24,2,547.8,451
10000000,1,2,50768.7,50536
10000000,2,2,27578.4,27257
10000000,4,2,14717.6,14581
10000000,8,2,8910.9,8415
10000000,16,2,7556.2,7053
10000000,24,2,6039.2,5771
1000000000,1,2,5812603.3,5721935
1000000000,2,2,3303477.7,3288463
1000000000,4,2,1739413.5,1651145
1000000000,8,2,962745.5,934011
1000000000,16,2,711467.4,687869
1000000000,24,2,572217.5,560477
